id,latitude,longitude,price,city_name,locality,per_square_feet_rate,floor_count,floor_number,property_type,under_construction,date_added,available_from,apartment_type,age_of_property,age_of_property_date,main_entrance_facing,status,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,water_supply_type,has_servant_room,power_backup_type,is_gated_community,security_type,is_society_formed,region_name,neighbourhood_score
660174,19.171807,72.960542,4500000,Mumbai,Mulund East,10000,4,3,Apartment,0,2015-11-16T16:42:46.003+05:30,2015-11-14,1 BHK,3,2012-11-15,North-East,ACTIVE,450,1,1,0,0,0,1,0,Bore and Municipal water,0,None,0,None,None,Central Bombay,-1
656599,19.138314,72.806288,5500000,Mumbai,Andheri West,8661,4,3,Apartment,0,2015-11-11T04:10:18.202+05:30,2015-11-11,1 BHK,0,2015-11-10,West,ACTIVE,635,1,1,0,0,0,0,0,Municipal Water,0,None,0,Basic,None,Western Suburbs,-1
656525,19.148425,72.946691,7300000,Mumbai,Bhandup East,11680,8,5,Apartment,0,2015-11-11T04:17:20.025+05:30,2015-11-10,1 BHK,3,2012-11-10,West,ACTIVE,625,1,1,0,0,1,0,0,Bore and Municipal water,0,None,1,Basic,None,Central Bombay,-1
637877,19.091054,72.917415,2100000,Mumbai,Vikhroli East,3818,4,3,Apartment,0,2015-10-31T17:20:33.012+05:30,2015-12-31,1 BHK,0,2015-10-31,North-West,ACTIVE,550,1,1,0,0,1,0,0,Municipal Water,0,None,1,Basic,None,Central Bombay,-1
627051,19.204137,72.819698,2500000,Mumbai,Malad West,11111,8,3,Apartment,0,2015-10-27T16:26:33.745+05:30,2015-10-28,1 RK,5,2010-10-27,West,ACTIVE,225,1,1,0,0,1,0,0,Bore and Municipal water,0,None,1,Basic,None,Western Suburbs,-1
643320,19.236342,72.871749,11000000,Mumbai,Borivali East,11764,14,1,Apartment,0,2015-11-03T21:33:18.488+05:30,2015-11-03,2 BHK,2,2013-11-03,North-East,ACTIVE,935,2,2,0,1,2,0,0,Municipal Water,0,None,0,Advanced,None,Western Suburbs,-1
661788,19.042409,72.873181,8000000,Mumbai,Sion,12269,8,7,Apartment,0,2015-11-16T23:09:34.513+05:30,2015-11-14,1 BHK,4,2011-11-16,South,ACTIVE,652,1,1,0,0,2,1,0,Municipal Water,0,Partial,1,Basic,None,Central Bombay,-1
653537,19.205894,72.879994,7500000,Mumbai,Kandivali East,12234,8,7,Apartment,0,2015-11-16T14:51:55.993+05:30,2015-11-08,1 BHK,5,2010-11-08,North,ACTIVE,613,1,2,1,1,1,1,1,Bore and Municipal water,0,None,1,Advanced,None,Western Suburbs,-1
655098,19.197884,72.839101,9800000,Mumbai,Malad West,14626,23,4,Apartment,0,2015-11-10T04:36:10.120+05:30,2015-11-09,1 BHK,1,2014-11-09,East,ACTIVE,670,1,2,0,1,2,0,0,Bore and Municipal water,0,Full,1,Advanced,None,Western Suburbs,-1
659889,19.250407,72.847442,9000000,Mumbai,Borivali West,14754,22,6,Apartment,0,2015-11-16T18:47:31.770+05:30,2015-11-14,1 BHK,0,2015-11-14,North,ACTIVE,610,1,2,1,1,2,2,0,Bore and Municipal water,0,None,1,Advanced,None,Western Suburbs,-1
644849,18.995588,72.822332,4500000,Mumbai,Worli,12857,8,2,Apartment,0,2015-11-05T15:02:04.018+05:30,2015-11-06,1 RK,3,2012-11-04,South,ACTIVE,350,1,1,0,0,1,1,0,Municipal Water,0,None,1,Basic,None,South Mumbai,-1
612177,19.004957,72.848099,5000000,Mumbai,Parel,12500,23,2,Apartment,0,2015-10-20T00:48:06.473+05:30,2015-10-23,1 BHK,2,2013-10-19,North,ACTIVE,400,1,1,0,0,2,1,0,Municipal Water,0,None,1,Basic,None,South Mumbai,-1
643792,18.983483,72.840026,3500000,Mumbai,Byculla,11111,24,21,Apartment,0,2015-11-04T00:32:05.692+05:30,2015-11-06,1 BHK,3,2012-11-03,South,ACTIVE,315,1,1,0,0,3,1,0,Municipal Water,0,None,1,Basic,None,South Mumbai,-1
625090,19.200383,72.827176,3500000,Mumbai,Kandivali West,7777,24,13,Apartment,0,2015-10-26T22:23:18.653+05:30,2015-10-26,1 BHK,2,2013-10-26,East,ACTIVE,450,1,1,0,0,2,1,0,Bore and Municipal water,0,Full,1,Advanced,None,Western Suburbs,-1
619514,19.105499,72.915885,4500000,Mumbai,Vikhroli West,12857,8,1,Apartment,0,2015-10-23T20:39:46.240+05:30,2015-10-20,1 RK,6,2009-10-23,West,ACTIVE,350,1,1,0,0,1,1,0,Municipal Water,0,None,1,Advanced,None,Central Bombay,-1
619841,19.146747,72.836224,12500000,Mumbai,Andheri West,13157,22,19,Apartment,0,2015-10-24T11:40:29.835+05:30,2015-10-23,2 BHK,5,2010-10-23,South,ACTIVE,950,2,2,0,0,2,0,1,Municipal Water,0,None,0,Advanced,None,Western Suburbs,-1
652665,19.242613,72.871974,5900000,Mumbai,Dahisar East,11568,8,1,Apartment,0,2015-11-07T22:27:40.457+05:30,2015-11-07,1 BHK,8,2007-11-07,North,ACTIVE,510,1,2,0,0,1,2,1,Bore and Municipal water,0,None,1,Advanced,None,Western Suburbs,-1
649519,19.117439,72.871789,2900000,Mumbai,Andheri East,10545,8,2,Apartment,0,2015-11-06T19:41:58.350+05:30,2015-10-29,1 RK,12,2003-11-06,South,ACTIVE,275,1,1,0,0,1,0,0,Municipal Water,0,None,1,None,None,Western Suburbs,-1
