x,y,z,price,city_name,locality,per_square_feet_rate,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1778.8039396552,5756.1558987142,2071.7545255086,16800000,Mumbai,Agripada,26880,7,4,0,12,7,625,1,1,0,0,1,0,0,0,0,1,2
1778.8120478829,5756.0286416469,2072.1011015025,17000000,Mumbai,Agripada,33333,26,13,0,6,5,510,1,2,0,0,2,0,0,0,0,1,2
1779.0203807382,5756.1030491935,2071.7155142499,15000000,Mumbai,Agripada,23076,21,12,0,1,1,650,1,1,0,0,2,2,1,0,0,0,0
1778.9482038102,5756.0190778381,2072.0107778977,37500000,Mumbai,Agripada,37500,7,6,2,30,7,1000,2,3,1,0,2,2,1,0,0,1,1
1779.0222403639,5756.0627730906,2071.8258180966,62500000,Mumbai,Agripada,43402,36,15,2,10,3,1440,2,2,1,1,2,2,0,0,0,1,2
1772.8480278996,5752.6526114867,2086.5375150061,2900000,Mumbai,Andheri East,10545,8,2,1,12,3,275,1,1,0,0,1,0,0,0,0,1,0
1771.2153039283,5753.1076695856,2086.6694729366,14000000,Mumbai,Andheri East,13023,13,2,2,5,1,1075,2,2,1,1,2,0,0,0,0,1,2
1774.4579289009,5752.4317901122,2085.7776867796,4400000,Mumbai,Andheri East,12222,7,7,1,5,5,360,1,0,0,0,1,1,0,0,0,0,0
1773.1670116066,5752.4851289407,2086.7282022981,3200000,Mumbai,Andheri East,9142,8,7,0,3,6,350,1,1,0,0,2,2,0,0,0,0,2
1772.1750388094,5752.8921682611,2086.4487370126,10500000,Mumbai,Andheri East,14000,13,12,0,2,1,750,1,2,0,0,2,0,1,0,1,1,2
1774.2558586422,5752.2696623474,2086.396625695,6000000,Mumbai,Andheri East,10909,10,6,0,0,0,550,1,1,0,0,2,0,0,0,0,1,2
1773.2626735695,5752.4373852753,2086.7785265841,50000000,Mumbai,Andheri East,17857,11,4,6,10,4,2800,4,5,1,1,2,2,1,0,0,1,2
1774.969573057,5752.2369443905,2085.8797065773,7500000,Mumbai,Andheri East,16666,2,1,1,40,5,450,1,1,0,0,0,1,0,0,0,1,0
1773.3657223588,5752.8747512163,2085.4848624675,14000000,Mumbai,Andheri East,25000,7,5,2,30,5,560,2,1,0,0,1,0,1,0,0,1,2
1771.278604687,5753.0922580968,2086.6582313367,14000000,Mumbai,Andheri East,13023,11,7,2,5,5,1075,2,1,1,1,2,1,0,0,0,0,1
1775.0514570164,5752.1260243946,2086.1158942941,15100000,Mumbai,Andheri East,23230,12,2,0,6,3,650,1,1,0,1,2,2,1,0,0,1,2
1773.6972132825,5751.8720772647,2087.9671459045,12500000,Mumbai,Andheri East,15625,5,4,2,25,5,800,2,2,0,0,0,0,1,0,0,1,2
1771.8368131984,5753.0561293684,2086.2838924104,6500000,Mumbai,Andheri East,13000,7,5,0,10,1,500,1,1,0,0,1,0,0,0,0,1,1
1771.2433372353,5753.1080318841,2086.6446783701,14000000,Mumbai,Andheri East,13023,11,7,2,5,5,1075,2,2,1,1,2,1,0,0,0,1,1
1773.7808300986,5752.6274307983,2085.8140399379,18100000,Mumbai,Andheri East,28730,8,4,2,4,5,630,2,2,0,0,1,0,0,0,0,1,2
1774.6539190177,5752.363176461,2085.8001711119,13500000,Mumbai,Andheri East,15000,8,2,2,5,4,900,2,1,0,0,1,0,0,0,0,0,2
1771.8368131984,5753.0561293684,2086.2838924104,6500000,Mumbai,Andheri East,13000,7,5,0,10,1,500,1,1,0,0,1,0,0,0,0,1,1
