x,y,z,price,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1763.353891630774,5753.496311597039,2092.248609823863,4500000,4,3,0,3,0,450,1,1,0,0,0,1,0,0,0,0,0
1779.198510329171,5749.895505949972,2088.730555025894,5500000,4,3,0,0,1,635,1,1,0,0,0,0,0,0,0,0,1
1764.9949711419285,5753.8856722023,2089.7926746614794,7300000,8,5,0,3,1,625,1,1,0,0,1,0,0,0,0,1,1
1768.5485566556142,5754.98040878742,2083.7652212339895,2100000,4,3,0,0,2,550,1,1,0,0,1,0,0,0,0,1,1
1777.1427426156718,5748.015450915235,2095.643826705334,2500000,8,3,1,5,1,225,1,1,0,0,1,0,0,0,0,1,1
1771.5729674108668,5748.500953146695,2099.0252530187895,11000000,14,1,2,2,0,935,2,2,0,1,2,0,0,0,0,0,2
1773.5113940457077,5755.30194568104,2078.6528929164892,8000000,8,7,0,4,3,652,1,1,0,0,2,1,0,0,1,1,1
1771.0738382749064,5749.821049231479,2095.8283234064766,7500000,8,7,0,5,4,613,1,2,1,1,1,1,1,0,0,1,2
1775.2635683671833,5748.83543664144,2094.987204076397,9800000,23,4,0,1,5,670,1,2,0,1,2,0,0,0,2,1,2
1773.85952047679,5747.256343395271,2100.501826925336,9000000,22,6,0,0,4,610,1,2,1,1,2,2,0,0,0,1,2
1779.1194981104043,5755.346662560371,2073.730842032921,4500000,8,2,1,3,3,350,1,1,0,0,1,1,0,0,0,1,1
1776.4310043360292,5755.82209201925,2074.71586774113,5000000,23,2,0,2,4,400,1,1,0,0,2,1,0,0,0,1,1
1777.4712794185002,5756.314303141573,2072.4580802250503,3500000,24,21,0,3,3,315,1,1,0,0,3,1,0,0,0,1,1
1776.4330575188685,5748.37851925793,2095.249625101547,3500000,24,13,0,2,5,450,1,1,0,0,2,1,0,0,2,1,2
1768.5478450754547,5754.430834500376,2085.2830241073448,4500000,8,1,1,6,1,350,1,1,0,0,1,1,0,0,0,1,2
1776.103309902391,5750.530521875823,2089.6164120546964,12500000,22,19,2,5,3,950,2,2,0,0,2,0,1,0,0,0,2
1771.4827229966293,5748.288327223401,2099.683611697638,5900000,8,1,0,8,4,510,1,2,0,0,1,2,1,0,0,1,2
1772.8480278996028,5752.652611486679,2086.537515006135,2900000,8,2,1,12,3,275,1,1,0,0,1,0,0,0,0,1,0
1772.8789287732734,5751.934265171946,2088.4907261112285,6500000,8,6,0,15,3,450,1,1,0,0,1,1,1,0,0,1,1
1771.1378923346474,5747.794570833552,2101.3255668345955,4300000,13,11,0,5,5,472,1,1,0,0,2,0,0,0,0,0,2
1774.9887328548714,5749.959465976939,2092.133393897353,10485000,22,13,2,0,5,1100,2,2,1,0,3,0,0,0,0,0,2
1771.8263886047903,5756.297189542759,2077.333606887887,7500000,8,3,0,8,4,565,1,1,0,0,1,0,0,0,0,1,2
1764.6503110708945,5753.5203075274085,2091.0892736818078,6500000,8,0,0,1,5,540,1,1,0,0,1,1,0,0,2,0,1
1774.5391247127911,5748.136346736908,2097.51768387912,3300000,2,0,1,1,1,225,1,1,0,0,0,0,0,0,0,1,2
1764.2827881880444,5753.410927807797,2091.7002507733373,4200000,8,1,0,0,5,375,1,1,0,0,2,0,0,0,0,1,1
1779.2313233590903,5749.652230947103,2089.372183490261,2500000,3,2,0,2,6,450,1,1,0,0,0,0,0,0,0,1,1
1770.457020275081,5755.646759857572,2080.301255852074,7000000,7,4,0,1,5,600,1,0,0,0,1,1,0,0,0,1,1
1773.5379416874002,5755.307431385245,2078.6150532594993,4300000,8,0,0,7,1,300,1,1,0,0,1,0,0,0,0,1,1
1772.4269681810663,5750.4850375573005,2092.860596240008,8500000,6,4,0,1,4,685,1,2,0,0,1,2,0,0,0,1,1
1771.2244755095587,5747.838500453639,2101.132416117259,9500000,9,8,2,5,3,840,2,2,0,0,1,1,0,0,0,1,1
1777.2785459831223,5747.5354382071855,2096.844857527771,8700000,8,3,0,9,3,680,1,2,0,0,1,0,1,0,0,0,1
1773.8859248850695,5747.2069862742765,2100.614572551279,12500000,10,9,2,1,2,850,2,2,0,0,2,1,1,0,0,1,2
1770.8960479038528,5751.764403607545,2090.6397185817696,5500000,20,4,0,13,4,710,1,2,0,0,2,1,0,0,0,1,2
1775.1273027062969,5753.450585996069,2082.3953547989304,9000000,7,2,0,5,2,630,1,0,0,0,1,1,1,0,0,1,1
1770.4076578416675,5753.558718446156,2086.1111663686133,6000000,8,0,1,15,5,420,1,1,0,0,1,0,0,0,0,1,1
1775.8816906181023,5754.769731882064,2078.1026331587723,14400000,17,2,2,1,4,980,2,2,0,1,3,1,0,0,1,1,2
1771.2153039283157,5753.107669585609,2086.6694729365654,14000000,13,2,2,5,1,1075,2,2,1,1,2,0,0,0,0,1,2
1770.6523387305851,5755.092865189379,2081.6669782638646,7000000,7,5,0,1,4,500,1,0,0,0,2,0,0,0,0,1,2
1773.6309776870808,5749.613106341847,2094.235727507968,6500000,7,1,0,8,5,480,1,1,0,0,1,2,0,0,0,1,1
1776.611985384467,5748.2903039072535,2095.3399331359383,3300000,8,7,1,14,0,340,1,1,0,0,1,0,0,0,0,1,2
1772.9814108788878,5747.561169518731,2100.409131411873,8300000,13,10,0,1,5,645,1,2,0,0,2,0,0,0,0,0,2
1775.4947244629893,5750.18702455413,2091.078350051334,7000000,8,1,0,0,5,510,1,1,0,0,1,0,0,0,0,1,1
1774.4579289009175,5752.431790112177,2085.7776867795596,4400000,7,7,1,5,5,360,1,0,0,0,1,1,0,0,0,0,0
1768.546389634615,5754.981226917167,2083.7648009171653,1900000,4,3,1,0,5,250,1,1,0,0,1,0,0,0,0,1,1
1777.620643939416,5753.591225266102,2079.8783278791416,6000000,4,1,0,5,4,460,1,1,0,0,0,0,0,0,0,0,0
1771.1524368887972,5751.018474289084,2092.473788052921,7500000,7,6,0,9,2,642,1,1,0,0,1,2,1,0,0,1,1
1777.1071870305739,5747.890140177226,2096.0176483650384,7891650,22,1,0,0,2,741,1,2,0,1,4,0,0,0,0,0,2
1773.6179770269744,5755.255206186001,2078.691363150304,2800000,8,1,0,12,1,300,1,1,0,0,1,0,0,0,0,1,1
1774.3071256251626,5748.23769357385,2097.4362069280082,15500000,7,6,2,1,1,1080,2,3,0,0,1,1,0,0,0,1,1
1772.834451508064,5747.750042735416,2100.016298456069,12500000,19,4,2,5,5,950,2,2,0,0,2,0,0,0,0,0,2
1769.1517101376498,5755.846885340458,2080.857962243837,1380000,7,5,1,12,4,200,1,1,0,0,1,1,0,0,0,1,0
1770.7649762309056,5755.0515568554,2081.6853693318303,7500000,8,2,0,7,5,550,1,1,0,0,1,0,1,0,2,1,2
1770.7055568533865,5755.189000694276,2081.3559035436892,11000000,15,4,2,1,3,1100,2,2,0,0,2,1,0,0,2,1,1
1774.9097139313435,5748.064262949625,2097.401663104504,8700000,8,3,0,12,3,625,1,2,0,0,1,1,1,0,0,1,1
1763.0927167384116,5753.566000726884,2092.277072345729,2000000,4,4,0,2,1,320,1,1,0,0,0,0,0,0,0,0,0
1775.572546105181,5748.603535243605,2095.36166999931,2550000,8,4,1,10,5,375,1,1,0,0,1,0,0,0,0,0,1
1777.1527008512405,5747.848230110639,2096.093986793325,5000000,8,7,1,14,2,375,1,1,0,0,1,0,0,0,0,0,1
